"content","time"
"回复 郭德缸扣潘长💦 :这我就不知道了。没有差到的官方资料，我不能确定","5/12/2018 15:03:29"
"回复 恶魔城狂迷 :没人要你猜老六心里想什么，而是让你对这种行为来辨别。不看这个人说什么，看他怎么做的。不是么？","5/12/2018 15:04:11"
"回复 恶魔城狂迷 :那就慢慢查。你可真有意思。较真的程度简直登峰造极。还官方资料。我跟你在这搞外交呢？有那么难查么？","5/12/2018 15:06:50"
"回复 郭德缸扣潘长💦 :我之前关于这个问题讲过，我认为还是情感上的问题，如果你没看到，我再重新讲一下，众所周知，最经典的西游记就是86版本，而六老师的目的就是希望能再现经典，他在杨洁的葬礼上提这件事情，我认为也是慰籍杨导演的在天之灵，我并没觉得他做的有什么不对","5/12/2018 15:06:52"
"回复 恶魔城狂迷 :首先，改名六小龄童广场但凡有点常识都懂，必须的合法对么？对不对？其次，他同意没同意。很显然有个六小龄童广场广场对吧？你只需要弄清楚六小龄童广场前身叫什么不就完了么？你还要怎么查你告诉我。","5/12/2018 15:08:27"
"回复 郭德缸扣潘长💦 :当然，你可能认为再别人葬礼上宣传自己的新电影不对，或许他应该考虑场合，我只能说是仁者见仁智者见智了，但是我觉得还不至于上升到更高的程度。","5/12/2018 15:10:02"
"回复 恶魔城狂迷 :慰藉？你跟我说说用什么慰藉。拿什么慰藉。那不叫慰藉，叫保证。：不是么？","5/12/2018 15:10:18"
"回复 恶魔城狂迷 :或许应该考虑场合？难道不是一定且必须应该么？什么场合讲什么话才能更加符合自己的身份。不是么？这不是谁应该体谅他的问题。而是他只想着自己的问题。不是么？","5/12/2018 15:14:09"
"回复 郭德缸扣潘长💦 :我之前已经说了，哪个明星宣传游戏，肯定都需要夸大游戏的质量吧，当然，六小龄童也不例外，在这个问题上，没必要追根问底，每位明星，在宣传相关游戏的时候总是会用自己独有的风格来夸大游戏，至于说他是怎么说的，就无关紧要了","5/12/2018 15:15:56"
"回复 郭德缸扣潘长💦 :有句话说的好，男人有泪，不轻弹，只是没到伤心处，我相信他对杨洁导演很有感情，人在感情用事的时候，总是会说一些让一些人无法理解的话，你毕竟不在现场，你也不是他，体会不到他的心情。","5/12/2018 15:19:03"
"回复 恶魔城狂迷 :老六没有夸大什么游戏质量。感受不一样的西游文化。俺老孙等着你。老六用的是什么？西游文化，对么？他所一直标榜的西游文化。用自己一直看的比生命还重要的东西。这辈子坚持做的东西用在游戏上？这叫什么？夸大是么？","5/12/2018 15:19:54"
"回复 郭德缸扣潘长💦 :关于这个问题，可能我们无法达成共识，我可以理解他，但是我不认为他就是做错了，但是你不能谅解他，这个只能说我们考虑问题的角度不一样吧。","5/12/2018 15:20:38"
"回复 恶魔城狂迷 :你都能走进老六的内心深处了，那份感情你都能感同身受了。那还不能猜到老六想的是什么么？讽刺么？我说了不看一个人说什么，看他是怎么做的。","5/12/2018 15:22:07"
"原著我没有看过，所以不能评价原著，另外，我觉得一件事情不同的人有不同的看法，但是你说的，我认为是符合86版本的西游记","5/12/2018 15:23:00"
"回复 郭德缸扣潘长💦 :我理解他，但是不等于我能够彻底知道他在想什么，但是至少我知道他对杨洁很有感情，我认为他在灵堂说的那些话，恰恰也是因为尊重导演，才那么说的","5/12/2018 15:24:50"
"回复 恶魔城狂迷 :嗯，没上过学的也知道的。那么我想问的是。老六的西游精神那些个拼搏进取云云的怎么就堂而皇之的代替了西游记精神。代替得了么？","5/12/2018 15:26:15"
"回复 郭德缸扣潘长💦 :“感受不一样的西游文化”，这句话我也听说了，我觉得没什么大问题，注意他说的是“感受不一样的……”，他加了“不一样”这三个字，意思就完全变了。他的意思很明白，你也说了，“自由文化”是他标榜的金字招牌，但是他在前面加上了“不一样”三个字","5/12/2018 15:28:15"
"回复 恶魔城狂迷 :扣字？是么？有意思么？","5/12/2018 15:29:02"
"回复 郭德缸扣潘长💦 :说明了，这款游戏和他标榜的“西游文化”是完全不同的，但是这款游戏非常的经典希望大家来玩，因为他的“西游文化”是“不一样”的，会更新颖，无意中，把这款游戏夸的很好，但是又没有丧失自己的原则","5/12/2018 15:31:12"
"好了，算了。本以为你会有什么真凭实据，没想到从头到尾尽是些个什么理解，不知道不了解。再不就是扣字。没有，哪怕一条是有理有据。走吧。我还以为逮着个理性粉。又失败了。走吧走吧。不送","5/12/2018 15:32:05"
"@恶魔城狂迷 我真的不愿意和你再继续扯了。你没料。扣字之后开始自己圆罢了。累。你反驳不了任何人，甚至还会挨骂。别问我为什么。问你自己吧。道理不是抠出来的，不是折出来的，不是强行解释来的。它是显而易见的。不用过多的阐述说明硬性强加观点。这不是讲道理反驳而是洗脑。你可以眯着了。","5/12/2018 15:36:05"
"回复 郭德缸扣潘长💦 :我只是就事论事，当然，你要是理解不了我也没办法，我说的已经够清楚了，你在1楼也说了，不要人身攻击，从开始到最后我都没有指责你吧，如果说我魔怔那我真是没办法，毕竟，每个人观念不一样，理解不一样，我是六小龄童的粉丝，你不是，只能说我们看问题角度不同。","5/12/2018 15:43:21"
"回复 恶魔城狂迷 :如果说一个魔怔就算人身攻击，那我只能说六小龄童的粉丝很脆弱。我让你过来的目的是反驳。而不是说让你说服我去理解。","5/12/2018 15:47:13"
"你说我“魔怔”，这句话的意思就是，你对我的话产生了质疑，如果一个人对他人的话有质疑，那么就很难继续听那个人的论述了，这不是人身攻击那么简单，两个人讨论，最可怕的就是相互之间的质疑对方的判断…你明白我的意思吧，嗯，就说这些吧","5/12/2018 15:54:40"
"回复 恶魔城狂迷 :我真看不懂你在说啥。真的。没有一丁点逻辑。","5/12/2018 15:56:16"
"反驳不是在思想上去征服对方。那叫辩论。 反驳是用事实依据，据理力争，一切以发生的既定事实，以大众所认可的行为准则为标尺。以事实，道理服人。而不是扣字，思想干预。希望你","5/12/2018 16:03:11"
"懂","5/12/2018 16:03:28"
"回复 郭德缸扣潘长💦 : 是啊，或许我的话让你很难理解，也许我的语言组织能力比较差，我确实语文成绩不够好，这个确实有难度，不过我也觉得你也可以考虑一下，可以尝试重新组织一下语言，说服“那个吧”的吧务，让自己的帖子能保留下来，让更多的人看到你的想法，如果你做到了，那是真的了不起","5/12/2018 16:13:56"
"回复 郭德缸扣潘长💦 :至少我很喜欢你，不喜欢六小龄童，或者喜欢六小龄童的人，在我眼中这并不重要，重要的还是态度，我讨厌跟风黑也不支持盲目崇拜，我希望你能尽量在六小龄童吧多多发帖……一定要谨慎，祝你好运吧。","5/12/2018 16:17:14"
"回复 恶魔城狂迷 :呵呵，这就不是我所操心的事情了。我唯一感到悲哀的是这些没有脑袋的**粉，对老六的爱甚至都赶不上所谓的六学家。人家有素材，怎么到了死粉这里全是意淫扣字了。六学家才是真爱。真爱不是包庇，是提醒深渊在侧。做魏征，不能做魏忠贤","5/12/2018 16:17:30"
"回复 恶魔城狂迷 :你们六吧吧务就是童丝阿姐。禁言我不下七八次。没有一次因为攻击谩骂。说来可笑。","5/12/2018 16:19:06"
"回复 恶魔城狂迷 :说一句童丝阿姐拿追思会与追悼会混淆与吧友强行狡辩，关十天。怀疑美猴网与阿姐是同一个人，虽然没有证据，但是行为极其相近。封禁十天","5/12/2018 16:20:43"
"回复 恶魔城狂迷 :六小吧务，是我见过最狭隘的人，直到现在，我也一直没有怀疑过自己的直觉。美猴网与童丝阿姐就是一个人。她叫郭姐，（谐音）","5/12/2018 16:22:10"
"回复 恶魔城狂迷 :六小吧务，是我见过最狭隘的人，直到现在，我也一直没有怀疑过自己的直觉。美猴网与童丝阿姐就是一个人。她叫郭姐，（谐音）","5/12/2018 16:22:29"
"回复 郭德缸扣潘长💦 :这个，就不好说什么了，总之，尽量不要对吧务有反感，那样的话，你肯定也会被吧务反感的。我之前在某几个贴吧，被吧主封了不下10次，好几次都是十天，但是我从来没有记恨过吧主，而后来，我的帖子还被吧主加了精，吧主还把我夸奖了一顿……人总是有两面性的","5/12/2018 16:27:52"
"回复 郭德缸扣潘长💦 :没有86版西游记，谁还记得西游记是什么？说他给西游记第二次生命毫不为过，那明朝的已经落伍了这就是当代中国的西游记","6/12/2018 02:44:13"
"引起大家对六小龄童老师的回忆，多看几遍西游记也是好的","6/12/2018 02:44:54"
"吴承恩是不是原作者都没准，没有六小龄童老师演出的认可宣传，谁知道他是谁？当地政府的旅游怎么搞？反正六老师是淮安的恩人","6/12/2018 02:46:17"
"回复 TOMAYAHA :哥们，看你说的我都快忍不住乐了。作者不确定呢？老六确定了啊！你脸不疼啊？","6/12/2018 02:48:47"
"回复 TOMAYAHA :合着四大名著西游记是因为一部电视剧成为名著经典的是么？","6/12/2018 02:49:38"
"回复 TOMAYAHA :你应该多读书，多多锻炼自己的逻辑思维。不要总说打自己脸的话。 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon2.png","6/12/2018 02:50:23"
"回复 郭德缸扣潘长💦 :人就应该有立场，爱憎分明，热爱自己祖国的艺术和艺术家，有错吗？","6/12/2018 03:04:25"
"回复 TOMAYAHA :人先应该懂是非，知善恶，分美丑。","6/12/2018 03:05:30"
"回复 TOMAYAHA :孩子，人应该先学会的是爱自己，再谈爱其他。不是么？但是爱自己要有度。六老师就爱自己，但是爱自己爱的太过了。才会有这么多的闹剧，不是么？","6/12/2018 03:08:54"
"the man who changed west play","6/12/2018 06:12:05"
"谢谢啦[太开心]","6/12/2018 11:17:54"
"戏说不是胡说，像你们这种胡说的人我要告你们！！！ https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon67.png https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon67.png","10/12/2018 15:21:17"
"六老师的尊尊教诲语录我等毕牢记心中 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon67.png","11/12/2018 04:22:31"
"https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","12/12/2018 08:12:02"
"小老弟，怎么肥事","14/12/2018 04:23:25"
"嘿嘿，恭祝六学繁荣昌盛。","14/12/2018 10:14:49"
"这个6","15/12/2018 01:17:36"
"拼搏进取，乐观向上，积极勇敢这些精神放个影视剧都说得通吧，这是精髓？","15/12/2018 07:06:55"
"没想到这还有月下迷。。十多年前的雨姐还好吗","15/12/2018 07:11:20"
"回复 零节操 :还可以吧……最近天冷了，零下15度，真是要命，不喜欢冬天 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon8.png","15/12/2018 08:17:54"
"下半年开拍 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon6.png","15/12/2018 09:24:51"
"回复 却把青梅嗅i🍀 :吼啊","15/12/2018 12:24:47"
"姿势水平还是太低啊 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","15/12/2018 13:51:11"
"加大力度[滑稽]","16/12/2018 09:22:58"
"一半多，还剩八万多了，包括黑粉","16/12/2018 13:05:22"
"我是六老的替身","16/12/2018 13:15:55"
"[阴险]","16/12/2018 13:16:01"
"七零后，相貌普通无奇，身材略微有一些臃肿","16/12/2018 13:40:26"
"回复 郭德缸扣潘长💦 :那是正经老娘们了，跟小六子干过没？","16/12/2018 13:47:43"
"戏说只能我说 改编只能我编","17/12/2018 00:12:52"
"中美合拍....[汗]","17/12/2018 02:08:49"
"回复 1014588227 :这个您得去问童丝阿姐本人或者六小龄童本人，只有这两位的回答才能作数。（这种口吻可曾熟悉 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png ）","17/12/2018 02:13:09"
"不是肛老师¿","17/12/2018 02:42:51"
"下半年32日开拍 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","17/12/2018 02:44:42"
"希望支持呢？你不是六学家 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon16.png","17/12/2018 04:37:32"
"回复 郭德缸扣潘长💦 :高级黑","17/12/2018 08:27:37"
"你们这些六学家烦不烦，整天一个哏翻来覆去的说，有意思么。看的我都想一棍子打下去，说起棍子就不得不提美猴王孙悟空的金箍棒了。明年年初中美合拍的电影版西游记即将开机，由我继续扮演美猴王孙悟空，并努力创造一个正能量的形象来纪念这位功成身退的伟大艺术家，文体两开花。","17/12/2018 10:27:19"
"难怪喜欢穿红衣","17/12/2018 13:54:08"
"英文字没改，差评","18/12/2018 00:48:11"
"重点是野生猴子[滑稽]","18/12/2018 07:19:13"
"你咋这么6","18/12/2018 08:53:28"
"六道佩恩","18/12/2018 09:00:39"
"回复 这名字没注册过 :说到猴子……中美 两开花 谢谢支持","18/12/2018 18:39:21"
"送你上去","18/12/2018 19:12:43"
"六","19/12/2018 03:14:24"
"两开花被吃了？","19/12/2018 04:05:30"
"666","19/12/2018 05:01:50"
"说起美猴王，我就想起了西游记，今年下半年中美.......... https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","19/12/2018 07:29:07"
"卧槽优秀 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","19/12/2018 07:46:27"
"灵堂麦片了解一下","19/12/2018 07:47:11"
"我已经可以章口就莱 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon16.png","19/12/2018 07:58:32"
"我演吴承恩从他18岁到82岁，我太了解他了","19/12/2018 07:59:08"
"回复 飞翔的猪头肉6 :无聊至极","19/12/2018 07:59:30"
"人民艺术家你们都侮辱，有意思吗","19/12/2018 07:59:51"
"他说代言不用孙悟空形象的，不让孙悟空说台词，说话是放屁？你看游本昌接代言吗","19/12/2018 08:20:23"
"回复 1014588227 :自己打自己脸也不是第一次了 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon67.png","19/12/2018 08:50:43"
"一群六学家整天章口就莱，真的很有意思？章老师是德艺双馨的人民艺术家，给70后80后一代带来无限欢乐，就这么把人家批判一番，你们知道他有多努力吗？你们知道他克服多少艰难困苦才塑造出美猴王这一形象吗？说到克服艰难困苦，就不得不说到西游记中师徒四人历经九九八十一难去西天取经的故事。明","19/12/2018 08:53:23"
"明年年初，中美合作的3D电影《敢问路在何方》正式开机，章老师将继续扮演美猴王孙悟空，努力创造一个中华英雄形象。弘扬西游文化，文体两开花","19/12/2018 08:54:40"
"六体","19/12/2018 08:59:59"
"谢罪警告","19/12/2018 09:00:15"
"回复 上岸大哥2º : https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","19/12/2018 09:05:19"
"nmsl","19/12/2018 09:05:39"
"回复 魂锁典狱长✨✨ :我寻思你也没有妈🐴啊","19/12/2018 09:12:32"
"回复 隔岸的流年sky :MDZZ","19/12/2018 09:14:03"
"同情她 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon2.png","19/12/2018 09:22:21"
"回复 郭德缸扣潘长💦 :包括所有她本尊的照片都删了，估计她怕出事，可惜呀 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","19/12/2018 09:25:45"
"回复 絶望savage :人格分裂","19/12/2018 09:27:46"
"回复 微软小冰冰乜 :你怎么章口就莱？","19/12/2018 09:34:52"
"人云亦云？说到云，我就想起了西游记里孙悟空一个跟斗，十万八千里的筋斗云。明年年初....","19/12/2018 09:42:18"
"回复 苍井没有空👻 :你咋还把照片删了捏？","19/12/2018 09:45:59"
"今年年初怎么不说","19/12/2018 13:23:10"
"回复 小乐欧 :原句没两开花 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","19/12/2018 13:36:47"
"我已经知道你要说什么了 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon16.png","19/12/2018 13:37:21"
"笑喷了 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","19/12/2018 13:41:39"
"6 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","19/12/2018 13:42:59"
"你说你孙悟空比我演的好，那上来咱们试试 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon16.png","19/12/2018 13:57:36"
"这是六小龄童的贴吧小号，大家不要和他吵架，毕竟今年下半年。。。。文体两开花!","19/12/2018 15:32:39"
"gkd https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon16.png","19/12/2018 15:32:43"
"你这个人怎么章口就莱… https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","19/12/2018 16:13:44"
"ipx034车牌 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon16.png 连接不会搞","19/12/2018 18:01:48"
"你好秀","20/12/2018 01:25:13"
"你专程跑来这里送妈，真有意思 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon16.png","20/12/2018 01:34:31"
"孙悟空是无性人！","20/12/2018 03:08:49"
"都已经能简略版了吗？哈哈哈","20/12/2018 03:10:29"
"哇，这不是贴吧引战dog，今天见到了 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon3.png","20/12/2018 04:41:55"
"他既然要宣传正统的西游文化，还去代言这个游戏就是他的锅了","20/12/2018 04:42:43"
"回复 推销苏联玉米🍺 :傻碧，你妈还在我身下，启容你比比，","20/12/2018 04:58:57"
"回复 Decade💯 :来来来继续叫，🐶嘛，叫的越大声越好。毕竟网络嘛，发泄，理解。","20/12/2018 05:01:44"
"回复 Decade💯 :继续继续，突然想吃🐶肉了 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon3.png","20/12/2018 05:05:55"
"回复 Decade💯 :笑死，就只会在网络上口嗨，随便你啦，不跟孤儿一般见识。","20/12/2018 05:09:48"
"关键词“继续扮演”“正能量”","20/12/2018 05:10:49"
"回复 推销苏联不管你说什么，爸爸都理解你","20/12/2018 05:12:01"
"回复 推销苏联玉米🍺 :键盘侠你好","20/12/2018 05:12:18"
"回复 Decade💯 :哟，谁先上来嘴臭的，还键盘侠。父母双亡上网口嗨寻求安慰直说嘛，我理解你，凑弟弟。 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon67.png","20/12/2018 05:16:11"
"回复 笨蛋和学渣 :六学博士 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon91.png","20/12/2018 05:32:54"
"怎么没开花 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png 不合格","20/12/2018 06:44:35"
"回复 哗哗水饺 :不开花了 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon16.png","20/12/2018 07:06:03"
"**","20/12/2018 07:39:35"
"英文改一下啊","20/12/2018 07:42:44"
"回复 一夫梦龙 :说到停一下，当年唐僧念紧箍咒的时候，悟空也求师傅停一下，明年，文体两开花","20/12/2018 08:35:24"
"回复 此站上车 :说到两开花，当年悟空还是石头的时候，石头旁边生了两朵花，原著中提到过“左右倒有芝兰相许”，后传为花开之时紫霞漫天，明年，文体两开花","20/12/2018 08:36:03"
"回复 此站上车 :章口就莱 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","20/12/2018 08:38:40"
"有钱一起赚","20/12/2018 11:48:02"
"说到在天之灵，就想到了巨灵神，下半年，路何方，两开花，谢支持","20/12/2018 11:58:18"
"六六六","20/12/2018 12:11:53"
"笑死我了","20/12/2018 12:58:48"
"nmsl","20/12/2018 13:16:54"
"你来错地方了","20/12/2018 13:31:17"
"回复 魂锁典狱长✨✨ :你给层主无中生吗","20/12/2018 14:07:30"
"回复 微软小冰冰乜 :可能是我嘴巴抹了蜜8 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon28.png","20/12/2018 14:39:15"
"https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","20/12/2018 14:54:43"
"***秀的一批","20/12/2018 14:56:51"
"这个之前就看过了 只不过是复制过来的","20/12/2018 15:58:54"
"下半年...正式开机....继续扮演...弘扬中华文化 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","21/12/2018 08:07:32"
