"content","time"
"君子比而不周，小人周而不比和木秀于林风必摧之如果你不是抄袭让我立刻被车撞死！誓言在此！明天看我能不能继续驳斥你","22/10/2015 02:32:23"
"或许，这就是因果造化，2009时写的作品，想不到在前两三年突有感慨，两首诗居然如此契合！","23/10/2015 02:56:54"
"回复 牧狼人云杰 :怎么个助你起势法？","23/10/2015 03:15:12"
"回复 丹竹江 ：把你所有的钱给他。将来一旦成为万王之王，十倍还你。你给他一百万，若干年后就是一千万","23/10/2015 03:29:59"
"回复 牧狼人云杰 ：昨天我用坚强的意志，一边玩撸啊撸一边听了你的几个视频。主次不分，意淫牛魔王那段有什么意义？什么牛魔王在人大上说环境污染，以及把牛魔王活活打死都不为过。什么狗屁玩意？","23/10/2015 03:32:12"
"回复 牧狼人云杰 ：四大美女也没讲出个什么意义。动不动才貌双全，德艺双馨才真正的美女。你可拉倒吧。人的精力时间有限，把大部分时间都用在琴棋书画上，在用来打扮自己。那还有时间学习生活的技能吗","23/10/2015 03:35:47"
"回复 牧狼人云杰 ：就像你，不是生活中的废物？就因为读死书，沉迷死书，一心想用死书发迹。却抑郁不得志，为此苦恼。现在你剩下的也就这点了！真有本事，抱着你的剧本带着你的才华去横店，去北京","23/10/2015 03:38:01"
"你这个懒汉，找不尽的借口。把黑锅甩给宵小，还算个男人？你这虚伪的娘炮。想象到你穿着沾满精液的内裤在电脑前扣字，蓝色的屏幕反射到你那憔悴的老脸上，加上你那熊猫黑眼圈，显得格外猥琐，","23/10/2015 03:41:04"
"回复 牧狼人云杰 ：你翻下你的内裤里面，看看是不是有干了的精液在里面。没个女人照顾你，内裤都懒得换。真令人作呕","23/10/2015 03:43:39"
"别人是看不惯你的虚伪，你整天为国为民，你倒是为国为民干了些什么？没干什么整天满嘴为国为民，不虚伪吗？","23/10/2015 03:49:05"
"好习惯，好好学习，天天向上！","26/10/2015 02:58:14"
"少玩游戏，多多学习进步！","26/10/2015 02:58:57"
"我坚持原创，举步维艰，生活，你还造这种谣言。你说我改了词，你把你那诗词贴出来，让大家看看。你如此诋毁我，丧良心吗？我已被你黑出了病！","28/10/2015 07:01:39"
"抄袭，你个畜生","28/10/2015 08:19:08"
"回复 牧狼人云杰 ：你这个无用的废物，能不能有点出息出门赚点钱？操你妈逼","28/10/2015 08:24:11"
"回复 杰姥姥中鱼蛊 ：你他妈是傻逼？","1/11/2015 17:52:38"
"是的，我爱这个国家，我爱这个世界，一定要实现中华伟大复兴，人民幸福安康，让这世界更加美好","5/11/2015 06:08:07"
"你和那些黑喷是一伙的吗？有人以为很搞笑，实则拿着生命的代价在诋毁中伤我！","8/11/2015 03:14:01"
"回复 牧狼人云杰 :我自己一伙~至于你那个新视频嘛……你猜猜他们会怎么玩 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","8/11/2015 07:14:50"
"回复 丹竹江 :你应助我起势，实中华伟大复兴，让此世界变得更加美好！","9/11/2015 03:18:25"
"回复 牧狼人云杰 :怎么个帮法？","9/11/2015 04:25:12"
"回复 丹竹江 :帮我澄清关于我之原创作品等事实，还我清白！","9/11/2015 05:37:26"
"回复 牧狼人云杰 :还你妈，艹你姥姥，起你吗波屎","9/11/2015 18:38:58"
"朋友何意？","10/11/2015 01:39:32"
"god immortal","10/11/2015 01:48:18"
"回复 ENIVID :我英文实在是不好，只怪当时不用心学习！","11/11/2015 05:52:49"
"你妈妈得癌症暴毙在村长胯下。","18/11/2015 02:30:34"
"你全家中了鱼蛊，你姥姥快不行了，鱼蛊在你姥姥直肠里发威","21/11/2015 15:25:47"
"还没去？ https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","10/12/2015 06:06:00"
"云杰疯了","13/12/2015 15:12:42"
"https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon26.png","13/12/2015 18:06:05"
"我的意思是你去北京最后的结果会是怎样","15/12/2015 04:33:44"
"那你倒是说说楼上有哪句是诋毁？都是你的现状和事实好嘛 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon10.png 你真的改去医院挂个号看下精神科 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon1.png @蔚的脑残粉","24/12/2015 02:00:31"
"回复 丹竹江 ：他现在不敢封我了。怂包一个！为什么他没封我，是因为他怕我辱骂他。再封我就开骂","24/12/2015 06:53:55"
"回复 丹竹江 ：不过现在懒得说他，也和大家一样，每天去他贴吧寻找快乐。哈哈哈哈！不多谈，再聊！","24/12/2015 07:04:49"
"回复 蔚的脑残粉 : https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon26.png","24/12/2015 08:06:29"
"这就是所谓的真我状态？又把以前的话重复一遍？我制作品，接奶圆床？？？？","24/12/2015 11:01:50"
"操你妈的黑木耳，爹和你好好说话，你封你爹几次了？操你妈，老子比你小十岁。你好意思？","29/12/2015 03:58:46"
"伪君子娘炮畜生狗，看见你那虚伪的言论，冠冕堂皇的道理，真令人作呕","29/12/2015 03:59:58"
"傻逼还在读三国，你爹初中时候读的东西。畜生，你知道红楼梦和金瓶梅吗？西厢记读过？你什么都不知道","29/12/2015 04:00:59"
"都是中国人，别人的大炮都开到家门口了，还在这里吵，有本事去当兵去。","10/1/2016 12:25:42"
"回复 云焕幻世4 :哪国的大炮到门口了？","10/1/2016 12:27:05"
"美国，日本，菲律宾","10/1/2016 12:28:30"
"回复 云焕幻世4 :政f没有好办法吗？","10/1/2016 12:31:00"
"回复 杰姥姥中鱼蛊 :鱼越套是你爹？你全家得癌死，傻逼","10/1/2016 12:56:34"
"必须为了你自己吧 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon10.png","11/1/2016 12:12:23"
"我不想和你说这些没用的，都是废话，打字还不如看电视去","12/1/2016 04:41:48"
"我操你妈","15/1/2016 04:27:14"
"天天在贴吧嚎叫就能实现啦？","2/2/2016 18:07:49"
"操你爹","14/2/2016 05:26:28"
"善德升级人","24/2/2016 12:03:26"
"呵呵","6/3/2016 02:05:46"
"复读一句顿时觉得心里踏实多了","19/3/2016 07:28:52"
"老光棍，你除了空喊口号还干啥了？你就天天躺床上爱国的？为国家激烈的竞争减轻负担？天天干嚎两句，跟风批判两句？人云亦云两句？","19/3/2016 07:39:58"
"老光棍，封号呀？我知道你一直被贴吧控制着，就在跟前呢","19/3/2016 07:40:35"
"若有人反驳我，我会说想过我的感受吗？ 哈哈，看似很有理的反驳。但是你既然以圣人自居，就是不能和常人一样。就得忍受非议，质疑，指责甚至辱骂。可是你睚眦必报，根本和宵小没任何区别，你就是一废物。","19/3/2016 07:43:03"
"这也是心理学中的一个难题啊，很多人终究困于此处，不能解脱。","26/6/2016 12:58:44"
"一个人五百，全国上千万工人多少","17/7/2016 13:57:41"
"弱智。","27/7/2016 02:47:05"
"观察啃老废物","3/8/2016 11:56:55"
"如是说","22/8/2016 03:17:17"
"https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon2.png ！","28/8/2016 10:51:01"
"快来公审我你这个废物","7/9/2016 10:30:19"
"而立之年，游手好闲，好一个公德","7/9/2016 10:32:01"
"你一家好人，怎么出了你这个畜生呢，是不是隔壁老王的基因不好","7/9/2016 10:36:37"
"我念及同学感情，没动手！其妻子把我褂子都撕开了口子，我也没还手！人是不一样的！","17/9/2016 06:30:20"
"必须如此","22/9/2016 02:12:46"
"你往张笃银屁眼里塞芸豆，张笃银苦不堪言！","23/9/2016 05:50:44"
"你让李娼翠给你买黄书 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon17.png https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon17.png https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon17.png","23/9/2016 05:51:28"
"这是一个人的道德素质修养问题！比如我待人文明道德友善大度，我从未招惹过你们，也没请你们来此，你们却一直辱骂咒骂诋毁我和我父母，连我逝去的姥姥都恶意辱骂咒骂诋毁，说白了就是道德素质修养问题！我不喜欢说脏话，因为我认为说脏话和听脏话都不舒服！","24/9/2016 02:40:11"
"回复 牧狼人云杰 :你诅咒我心脏病诅咒我游泳溺水怎么说？你其实也非常恶毒嘛。","24/9/2016 02:44:00"
"回复 驴头仙人_ :看看你那些一直不断的脏言恶语和造谣诋毁，你不怕你父母会为此羞愧吗?若你已有了孩子，你孩子看到呢那些卑鄙肮脏无耻的言语，不怕你孩子会为此感到羞耻吗?！我不想搭理你，望你好自为之，不多谈！","24/9/2016 02:49:35"
"回复 牧狼人云杰 :快滚，不爱和你说话","24/9/2016 02:57:56"
"以找到！谢谢你。","24/9/2016 11:16:45"
"你好，，，","2/10/2016 03:50:35"
"回复 被放任的苟且ok :吼，，，","2/10/2016 03:51:32"
"然我之天赋极高","2/10/2016 07:05:07"
"md，你不要再把我给封禁了，我可从来没辱骂过你父母。","2/10/2016 13:42:12"
"回复 一叶叠天 :你哪里的？","2/10/2016 13:44:58"
"回复 牧狼人云杰 :我要加你好友","2/10/2016 13:47:53"
"回复 牧狼人云杰 : https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon71.png 看私信","2/10/2016 13:49:42"
"回复 一叶叠天 :无论你是谁，你不能辱骂诋毁陷害我，也不能辱骂诋毁陷害我父母家人，更不能辱骂诋毁陷害中国和任何世间真善美之事！","2/10/2016 13:51:27"
"回复 牧狼人云杰 :我私信里面已经告诉你了，你tm就不能看看私信！","2/10/2016 13:55:24"
"回复 牧狼人云杰 :你tm别装哑巴@牧狼人云杰","2/10/2016 13:58:58"
"回复 一叶叠天 :我厌恶脏言恶语！","2/10/2016 14:00:51"
"回复 一叶叠天 :我厌恶脏言恶语，请你注意言语文明，这是对人的起码尊重！","2/10/2016 14:01:46"
"回复 牧狼人云杰 :朋友，你此言何意，当年你也曾用diao这个字！要我翻出你当年的帖子吗？","2/10/2016 14:02:32"
"不多谈","3/10/2016 00:26:39"
"中华复兴要实现肏了你这个狗东西的烂屁眼","4/10/2016 08:58:31"
"那为什么他叫你云杰？ 你不是叫张杰吗？？ 你这小人竟然还封我 我要伸张正义！","7/10/2016 08:25:59"
"回复 HIHI嗜血 :支持","26/10/2016 00:34:04"
"不孝的畜生是不是也该死刑啊？","14/11/2016 13:43:33"
"你不是东西！","24/11/2016 00:45:23"
"百度id 万用壶 ， 你这死不悔改辱骂诋毁的卑鄙宵小黑喷，你明明说的就是我割手报警视频，现在又改口说我《忆三国》和《西游记》视频。我《忆三国 》和《西游记之感慨》去年点击率早已过千，我全部视频点击总和在七天前已是七千九！你整天造谣诋毁，很是下作，非男人所为！你好自为之吧，不多谈！","25/11/2016 01:30:10"
"你放屁！我什么时候说是你割手报警的视频了？你找出证据来！你他妈撒谎成瘾吧！","25/11/2016 01:40:48"
"你蒙谁啊！这是我今天的截图，还是7100多，半小时后就变成8000了！你说你七天前是七千九，你有证据吗？","25/11/2016 01:42:49"
"你优酷空间早就没有你割手的视频了！要不是你今天截图，我都不知道优酷网还有人转载你的视频，我有可能拿割手报警视频说事儿吗？你撒谎骗人编圆一点好吗？","25/11/2016 01:45:05"
"你要说你七天钱七千九你就拿出证据来！拿不出证据你就是造谣诋毁！","25/11/2016 01:49:01"
"回复 万用壶 :我割手以证清白报警视频本就不在优酷 张云杰寨星梦里。你明明说的就是我那割手报警，你这卑鄙小人之低劣行为，让人瞧不起！我不知你是谁，但我不想搭理呢这种死不悔改的小人，劝你也给自己留点脸！望你知悔改，学会做个好人，不多谈！","25/11/2016 01:56:27"
"我请求你要点脸行不行？割手报警不在优酷里，我就更不可能拿它说事儿了。你说我撒谎，你拿出证据啊！截个图那么难吗？是我不想搭理你！我给你留言了吗？你就在正公社偷偷摸摸的骂我，你是个男人吗？我劝你给你父母留些脸面！","25/11/2016 02:00:38"
"回复 牧狼人云杰 ：杰子，现在余旭吧都知道你开小号炒作了，就别狡辩了","25/11/2016 02:07:26"
"有理有据","25/11/2016 02:08:01"
"优酷后台有数据，你真不怕风大闪了舌头，我还说中国有证据呢！你拿不出证据就会造谣诅咒，你算什么玩意啊？","25/11/2016 02:10:58"
"我耍小聪明？我耍什么小聪明啊？今天早上刚起床就有人告诉我你在正公社骂我。我这么点时间，就把一切都安排好了？还未卜先知知道你要骂我？我一直尊重事实，你却造谣诋毁，说谎跟放屁一样容易，谁是死不悔改的小人？谁浪费谁的时间？无耻有个限度，可以么？","25/11/2016 02:13:54"
"回复 万用壶 :优酷有我割手以证清白之报警视频，你明明是在余旭吧诋毁我这个视频的点击率！你以为你总是耍小聪明耍人自以为是很威风吗?我无论是否功成名就，你这种低劣的行为也只能证明你是个骨子里的卑鄙宵小！搭理你这种人，浪费我宝贵时间。你若要点脸，若还想知悔改，走好，不送！","25/11/2016 02:15:38"
"张杰，你要点脸行吗？我什么时候说你割手视频的点击率？有种你就拿出证据来！没种就别BB！我现在就叫人来，让大家看看，是我列出的证据多还是你的话值得信服！你真是个下流胚子，你跟下三滥有区别吗？","25/11/2016 02:18:37"
"回复 万用壶 :你就是典型的卑鄙小人，而且是骨子里的懦夫。无论我依旧穷困落魄人微言轻还是功成名就世人皆赞，你这恶意辱骂诋毁之死不悔改的低劣德行也会让人瞧不起！走好，不送！","25/11/2016 02:20:06"
"回复 万用壶 :你就一死不悔改的卑鄙小人，靠在网络上辱骂诋毁陷害之他人满足自己的阴暗心理，我为你的人性感到可悲！","25/11/2016 02:22:44"
"操你血妈","25/11/2016 12:07:18"
"回复 牧狼人云杰 ：你视频的内容都是抄袭的。真丢人 用这种手段 真不要脸","25/11/2016 12:31:35"
"真垃圾。这么多年的烂作品 自己天天点击刷数量 真他妈不要脸。","25/11/2016 12:32:43"
"你垃圾视频有人看吗 真当宝贝了 垃圾败类","25/11/2016 12:33:11"
"人渣诈骗犯","25/11/2016 12:34:50"
"诋毁烈士的败类 你全家该死","25/11/2016 12:35:10"
"你有什么狗屁天赋才学 说来听听","28/11/2016 00:52:01"
"我马上去淄博了 你还不为你全家担心","28/11/2016 00:54:04"
"必须凌迟你全家","28/11/2016 00:54:22"
"https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon22.png https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon22.png https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon22.png","28/11/2016 03:18:47"
"忒中 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon13.png","28/11/2016 03:47:05"
"这不是刚吃到一半吗，来删贴子了。","28/11/2016 11:41:05"
"你心中早已无恨，记住","28/11/2016 11:44:03"
"回复 蒙面吴悠 :我父母因为你们的恶意辱骂诋毁而身心憔悴，你们如此诋毁陷害我，你们还是人吗？你们没有父母家人吗？不懂得行善积德吗？！","28/11/2016 11:45:23"
"回复 @牧杰人黑喷 :杰子这才叫胡说八道造谣诋毁","28/11/2016 11:46:40"
"回复 @牧狼人云杰 :你心中不是无恨了吗","28/11/2016 11:47:12"
"回复 牧杰人黑喷 :你们已失去了做人之起码道德良知，知悔改吧！说不定哪天我会被你们黑的放弃一切，你们害人害己啊！","28/11/2016 11:47:39"
"我心中的的确确早已无恨，那你们也不能如此辱骂诋毁陷害我，冒充我造谣生事吧！我父母因为你的造谣辱骂诋毁而身心憔悴，你们还有道德良知吗？你们没有父母家人吗？","28/11/2016 11:49:01"
"回复 牧狼人云杰 ：杰子心中早已无恨！","28/11/2016 11:51:28"
"回复 牧杰人黑喷 :你们到底为何黑我？你们到底是谁？","28/11/2016 11:53:43"
"回复 牧狼人云杰 ：不是无恨吗？无恨的话，放弃一切时，你会怎样呢？","28/11/2016 11:55:33"
"卑鄙小人实在是太可恨了！人性的悲哀！","28/11/2016 12:02:02"
"造谣诋毁！无所不用其极！卑劣！杂碎！可恨！","28/11/2016 12:02:41"
"回复 湖北蛮子匡三刀 :一切会有公道，一切会有公道！","28/11/2016 12:06:54"
"回复 牧狼人云杰 ：今晚要通宵吗？杰子","28/11/2016 12:10:36"
"回复 牧狼人云杰 ：为什么百度相信这群宵小不相信你啊","28/11/2016 12:11:25"
"朋友，你好，请问这个吧干什么的？","28/11/2016 12:11:36"
"朋友，吧主怎么了？","28/11/2016 12:13:19"
"回复 湖北蛮子匡三刀 :这些人如此恶意诋毁陷害我，其是在恶意作孽，我很痛心他们为何不知悔改呢？人生归来去，真有堕落和升华，他们为何不知悔改呢？","28/11/2016 12:14:01"
"回复 万用壶 :很累！","28/11/2016 12:14:47"
"我已经被封了","28/11/2016 12:15:47"
"回复 牧狼人云杰 ：事到如今你还敢宣传封建迷信思想，你真是死不悔改！","28/11/2016 12:17:06"
"回复 説好要还钱的 ：朋友你做了什么？","28/11/2016 12:17:12"
"回复 牧狼人云杰 ：你这是求封吧啊","28/11/2016 12:17:51"
"回复 牧狼人云杰 :做人要有善心，不能赶尽杀绝！这些人有的没有你优秀的品质！有的嫉妒你才华！有的得不到你就想毁了你！恶心！","28/11/2016 12:18:02"
"这么个孩子，不要也罢","28/11/2016 12:19:02"
"大不了我找哥们值班！","28/11/2016 12:26:51"
"回复 被放任的苟且ok :你们如此恶意辱骂诋毁我和我父母及我逝去的姥姥，恶意投诉关闭我个人贴吧，我对此却心中无恨，你们依旧死不悔改，我为你们的人心人性感到悲哀！真的为你们之人心人性感到悲哀，哎！","28/11/2016 12:26:55"
"回复 被放任的苟且ok ：大哥一定注意身体呀！","28/11/2016 12:27:27"
"不要把每个想的这么可恶，有人性的光环吗？","28/11/2016 12:28:18"
"回复 花钱雇的女孩 ：即使我坐下，所剩之高度也让卑鄙小人望尘莫及！","28/11/2016 12:29:17"
"回复 牧狼人云杰 ：你宣扬不当思想妄议政治妄图取缔领导人，恶意删封攻击吧友在先却装无辜，至今扔死不悔改甚至死不承认，你说你心中早已无恨，无非是你斗不过黑喷想求饶！然而有人买你的帐吗？","28/11/2016 12:31:54"
"回复 被放任的苟且ok ：先从高跷上下来好吗？","28/11/2016 12:33:01"
"回复 万用壶 ：杀了七岁的小杰子","28/11/2016 12:36:57"
"人性，问问自己人性 ，我怕你会抑郁！","28/11/2016 12:37:05"
"回复 花钱雇的女孩 ：为何我悬空而你脚踏实地？难道你比我重吗 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon68.png","28/11/2016 12:37:06"
"回复 湖北蛮子匡三刀 ：大V哥心理不要这么阴暗 杰子会照顾你的","28/11/2016 12:40:27"
"回复 张笃金 :你根本就不懂，人性啊！","28/11/2016 12:48:02"
"回复 被放任的苟且ok ：揍你啊！","28/11/2016 12:49:01"
"回复 花钱雇的女孩 ：别别别，我把棉袄穿上还不行吗，砰砰砰砰砰（牙打战）","28/11/2016 12:50:40"
"回复 花钱雇的女孩 ：好了现在平了 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon68.png","28/11/2016 12:51:21"
"回复 被放任的苟且ok ：............","28/11/2016 13:01:39"
"回复 湖北蛮子匡三刀 ：没关系 杰子和你同病相怜","28/11/2016 13:02:48"
"你不是要上门问候家教门风吗？怎么不问了，怎么就早已无恨了，你不是要找吧友全家吗？ https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon22.png https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon22.png","28/11/2016 13:05:39"
"我一生堂堂正正，一直原创，一心为国为民为世，我不辱人不坑人不害人，待人文明道德友善大度，多年来立志实现中华伟大复兴和达成自然良循大道。可论真正男子汉气概和修养及人品等等纯个人素质和能力，你们差远了。你们不懂得我言之道骨佛心法治，你们根本不了解我，我为你们的人心人性感到悲哀，懂吗？","28/11/2016 13:17:34"
"回复 牧狼人云杰 ：还复读呢？你堂堂正正百度怎么把你的日记本烧了呢？我们说百度就信吗？有多少贴吧是不关闭的？今年还有一个人支持你吗？自己寻思吧，说了一堆有个屁用，看事实，懂不","28/11/2016 13:20:09"
"回复 牧狼人云杰 ：你说再多也没用，都是废话，我也可以说，我还说我堂堂正正呢？你看有人反驳我吗？看事实，看看你现在的处境，仅有几个支持你的也被你整走了，自己想吧，说这么多干嘛","28/11/2016 13:22:10"
"回复 Ashley蕙蕙 :有的人的思想深度不是你能明白的 等着那天吧","28/11/2016 13:24:27"
"行，我值夜班","28/11/2016 13:31:13"
"你刚才还黑我呢，但我依旧实话实说。我耐得住寂寞，无奈有人诋毁陷害我之心不死啊！我自上贴吧以来一直公开真实身份，一直遵纪守法，我把百度当做是我的日记本！牧狼人云杰 吧已建立七年，记载着我太多作品和我的点点滴滴，已是我生命中的一部分{人生有几个七年，大好青春的七年}，被人冒充我而被误封","28/11/2016 13:31:47"
"笑，继续笑。等这吧也完蛋了时，希望你能笑到最后 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon2.png https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon2.png https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon2.png https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon2.png","28/11/2016 13:32:48"
"回复 牧狼人云杰 :原来如此，你的处境我大概知道了，呵呵","28/11/2016 13:36:55"
"回复 牧狼人云杰 你的好哥们呢？@中华复兴要实现","28/11/2016 13:37:00"
"准确的讲，我耐得住寂寞，经得起诱惑，受得了孤独，但有些嫉贤妒能或为名利物质美色诋毁陷害我之人一直在恶意辱骂骚扰诋毁陷害我，其害我之心不死啊！我个人贴吧吗，从未请过任何人去，有些人恶意辱骂诋毁陷害我，其良心丧大了！","28/11/2016 13:41:26"
"回复 牧狼人云杰 :那为什么还和你眼中的黑喷聊天，其他吧主都是直接封人的，","28/11/2016 13:46:53"
"回复 天启神谴 :虽然黑喷恶意辱骂诋毁我和我父母及我逝去的姥姥，但我想归人正德正善，让其救赎自己和提升自己，朋友对此懂吗？不多谈！","28/11/2016 13:49:09"
"回复 牧狼人云杰 :好的","28/11/2016 13:53:23"
"https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon22.png https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon22.png https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon22.png","28/11/2016 13:56:33"
"回复 外纳础谷 :我爱中国{我伟大的中国}，我支持习，你如此恶意辱骂诋毁陷害我{p图诋毁，冒充我造谣生事等等}，你是网特吗？我心中虽早已无恨，但你如此恶行，你会自食恶果！你好自为之吧！","28/11/2016 13:59:43"
"嗯","28/11/2016 14:12:40"
"谁的悲哀？！","28/11/2016 14:14:09"
"回复 牧狼人云杰 ：七年之痒","28/11/2016 14:27:59"
"回复 外纳础谷 :你这种死不悔改之造谣诋毁的卑鄙小人，你从来不想救赎自我，或许你此生永远不懂得我一颗正气正德正善之心，你永远不明白何谓道骨佛心法治！我前几天思考了太多人生归来去和大自然中的联系意义所在{以前在我个人贴吧 牧狼人云杰 说过，因为你们的恶意冒充诋毁而现在被误封}，你不懂！","28/11/2016 14:44:58"
"回复 牧狼人云杰 :[开心]张杰，我且和你谈谈你诋毁我胡说八道的事情吧。","28/11/2016 14:49:53"
"回复 牧狼人云杰 :咱们明人不说暗话，你就敞开了说，我哪胡说八道了？","28/11/2016 14:50:14"
"快睡吧，哈哈","28/11/2016 14:55:19"
"回复 天启神谴 :我以前说过：准确的讲，我耐得住寂寞，经得起诱惑，受得了孤独，忍得了中伤和侮辱，但有些嫉贤妒能或为名利物质美色诋毁陷害我之人一直在恶意辱骂骚扰诋毁陷害我，其害我之心不死啊！我个人贴吧吗，从未请过任何人去，有些人恶意辱骂诋毁陷害我，其良心丧大了！哎，其不懂得救赎自我！","28/11/2016 14:56:54"
"回复 牧狼人云杰 :你连鱼都不敢砸，你心中有恨有何用？","28/11/2016 15:00:45"
"等你醒了连这个狗窝也没啦","28/11/2016 15:15:45"
"都35了，还鸡巴青年，你怎么好意思恬个逼脸说出口的","28/11/2016 15:20:47"
"我必须杀你全家 不然怎么向兄弟们交代","28/11/2016 15:35:02"
"回复 牧狼人云杰 ：保险，人肉，女式内衣， 这些搜索记录和百度推广是怎么回事？ 请吧主理性解释。","28/11/2016 15:37:10"
"是的，必须如此，，， https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon32.png","28/11/2016 15:38:21"
